Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|1404.869.peg.9	CDS	NZ_JBBJSQ010000001.1	11961	13715	1755	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo	11961	13715	
fig|1404.869.peg.10	CDS	NZ_JBBJSQ010000001.1	13719	14528	810	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo	13719	14528	
fig|1404.869.peg.11	CDS	NZ_JBBJSQ010000001.1	14545	15363	819	Naphthoate synthase (EC 4.1.3.36)	Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo	14545	15363	
fig|1404.869.peg.12	CDS	NZ_JBBJSQ010000001.1	15446	16909	1464	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo	15446	16909	
fig|1404.869.peg.13	CDS	NZ_JBBJSQ010000001.1	16913	18016	1104	O-succinylbenzoate synthase (EC 4.2.1.113)	Menaquinone and Phylloquinone Biosynthesis, Menaquinone and Phylloquinone Biosynthesis -- gjo, Muconate lactonizing enzyme family	16913	18016	
fig|1404.869.peg.14	CDS	NZ_JBBJSQ010000001.1	18615	20858	2244	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	Ribonucleotide reduction	18615	20858	
fig|1404.869.peg.15	CDS	NZ_JBBJSQ010000001.1	20875	21918	1044	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	Ribonucleotide reduction	20875	21918	
fig|1404.869.peg.16	CDS	NZ_JBBJSQ010000001.1	22151	21948	204	hypothetical protein	- none -	21948	22151	
fig|1404.869.peg.17	CDS	NZ_JBBJSQ010000001.1	22376	22218	159	Uncharacterized DUF1540 protein BA2630	- none -	22218	22376	
fig|1404.869.peg.18	CDS	NZ_JBBJSQ010000001.1	22584	22865	282	hypothetical protein	- none -	22584	22865	
fig|1404.869.peg.19	CDS	NZ_JBBJSQ010000001.1	22935	23675	741	hypothetical protein	- none -	22935	23675	
fig|1404.869.peg.20	CDS	NZ_JBBJSQ010000001.1	23691	24149	459	Flavodoxin	Flavodoxin	23691	24149	
fig|1404.869.peg.21	CDS	NZ_JBBJSQ010000001.1	25217	24180	1038	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	Terminal cytochrome d ubiquinol oxidases, Terminal cytochrome oxidases	24180	25217	
fig|1404.869.peg.22	CDS	NZ_JBBJSQ010000001.1	26567	25233	1335	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	Terminal cytochrome d ubiquinol oxidases, Terminal cytochrome oxidases	25233	26567	
fig|1404.869.peg.23	CDS	NZ_JBBJSQ010000001.1	26720	26965	246	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	Ribosome LSU bacterial, Ribosome LSU bacterial	26720	26965	
fig|1404.869.peg.24	CDS	NZ_JBBJSQ010000001.1	27954	26995	960	Zinc ABC transporter, substrate-binding protein ZnuA	- none -	26995	27954	
fig|1404.869.peg.25	CDS	NZ_JBBJSQ010000001.1	29225	28038	1188	Zinc-binding GTPase YciC	- none -	28038	29225	
fig|1404.869.peg.26	CDS	NZ_JBBJSQ010000001.1	29345	29917	573	Carbonic anhydrase, beta class (EC 4.2.1.1)	- none -	29345	29917	
fig|1404.869.peg.27	CDS	NZ_JBBJSQ010000001.1	30148	29921	228	Membrane protein insertion efficiency factor YidD	- none -	29921	30148	
fig|1404.869.peg.28	CDS	NZ_JBBJSQ010000001.1	30299	30772	474	S-ribosylhomocysteine lyase (EC 4.4.1.21) @ Autoinducer-2 production protein LuxS	Methionine Biosynthesis, Methionine Degradation	30299	30772	
fig|1404.869.peg.29	CDS	NZ_JBBJSQ010000001.1	30936	31376	441	DNA protection during starvation protein	- none -	30936	31376	
fig|1404.869.peg.30	CDS	NZ_JBBJSQ010000001.1	31480	31881	402	Holin	- none -	31480	31881	
fig|1404.869.peg.31	CDS	NZ_JBBJSQ010000001.1	31956	32276	321	hypothetical protein	- none -	31956	32276	
fig|1404.869.peg.32	CDS	NZ_JBBJSQ010000001.1	32363	32851	489	Low G+C gram positive nudix hydrolase YtkD (EC 3.6.-.-)	- none -	32363	32851	
fig|1404.869.peg.33	CDS	NZ_JBBJSQ010000001.1	33704	32898	807	Hydroxymethylpyrimidine ABC transporter, transmembrane component	Thiamin biosynthesis	32898	33704	
fig|1404.869.peg.34	CDS	NZ_JBBJSQ010000001.1	34461	33691	771	Hydroxymethylpyrimidine ABC transporter, ATPase component	Thiamin biosynthesis	33691	34461	
fig|1404.869.peg.35	CDS	NZ_JBBJSQ010000001.1	35461	34463	999	ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	- none -	34463	35461	
fig|1404.869.peg.36	CDS	NZ_JBBJSQ010000001.1	35634	36416	783	Dipeptidyl aminopeptidases/acylaminoacyl-peptidase	- none -	35634	36416	
fig|1404.869.peg.37	CDS	NZ_JBBJSQ010000001.1	36471	36713	243	Uncharacterized protein YtmB	- none -	36471	36713	
fig|1404.869.peg.38	CDS	NZ_JBBJSQ010000001.1	38337	36748	1590	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	Pyruvate metabolism I: anaplerotic reactions, PEP, Serine-glyoxylate cycle	36748	38337	
fig|1404.869.peg.39	CDS	NZ_JBBJSQ010000001.1	38962	40164	1203	S-adenosylmethionine synthetase (EC 2.5.1.6)	Methionine Biosynthesis, Methionine Degradation	38962	40164	
fig|1404.869.peg.40	CDS	NZ_JBBJSQ010000001.1	41342	40197	1146	hypothetical protein	- none -	40197	41342	
fig|1404.869.peg.41	CDS	NZ_JBBJSQ010000001.1	41885	41361	525	putative membrane-associated phospholipid phosphatase, PAP2 superfamily	- none -	41361	41885	
fig|1404.869.peg.42	CDS	NZ_JBBJSQ010000001.1	42604	42077	528	Carbonic anhydrase, gamma class (EC 4.2.1.1)	- none -	42077	42604	
fig|1404.869.peg.43	CDS	NZ_JBBJSQ010000001.1	42712	43488	777	Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)	Triacylglycerol metabolism, Triacylglycerol metabolism	42712	43488	
fig|1404.869.peg.44	CDS	NZ_JBBJSQ010000001.1	43520	44578	1059	Tetraprenyl-beta-curcumene synthase (EC 4.2.3.130)	- none -	43520	44578	
fig|1404.869.peg.45	CDS	NZ_JBBJSQ010000001.1	45160	44591	570	Putative rRNA methylase YtqB	- none -	44591	45160	
fig|1404.869.peg.46	CDS	NZ_JBBJSQ010000001.1	46119	45157	963	[4Fe-4S]-AdoMet protein YtqA	- none -	45157	46119	
fig|1404.869.peg.47	CDS	NZ_JBBJSQ010000001.1	46289	46552	264	Uncharacterized protein YtzC	- none -	46289	46552	
fig|1404.869.peg.48	CDS	NZ_JBBJSQ010000001.1	46565	46720	156	hypothetical protein	- none -	46565	46720	
fig|1404.869.peg.49	CDS	NZ_JBBJSQ010000001.1	46879	48066	1188	Uncharacterized MFS-type transporter YttB	- none -	46879	48066	
fig|1404.869.peg.50	CDS	NZ_JBBJSQ010000001.1	48223	49545	1323	D-beta-hydroxybutyrate permease	Polyhydroxybutyrate metabolism	48223	49545	
fig|1404.869.peg.51	CDS	NZ_JBBJSQ010000001.1	49610	49801	192	hypothetical protein	- none -	49610	49801	
fig|1404.869.peg.52	CDS	NZ_JBBJSQ010000001.1	50328	52742	2415	Leucyl-tRNA synthetase (EC 6.1.1.4)	tRNA aminoacylation, Leu	50328	52742	
fig|1404.869.peg.53	CDS	NZ_JBBJSQ010000001.1	52982	53293	312	Rhodanese-like domain protein	- none -	52982	53293	
fig|1404.869.peg.54	CDS	NZ_JBBJSQ010000001.1	53816	53995	180	Sporulation protein cse60	- none -	53816	53995	
fig|1404.869.peg.55	CDS	NZ_JBBJSQ010000001.1	55271	54000	1272	Uncharacterized flavin-containing protein YtfP	- none -	54000	55271	
fig|1404.869.peg.56	CDS	NZ_JBBJSQ010000001.1	55483	57126	1644	Probable cell division protein YtgP	- none -	55483	57126	
fig|1404.869.peg.57	CDS	NZ_JBBJSQ010000001.1	57182	57898	717	SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)	- none -	57182	57898	
fig|1404.869.peg.58	CDS	NZ_JBBJSQ010000001.1	58342	58121	222	Transcriptional regulator, DeoR family	- none -	58121	58342	
fig|1404.869.peg.59	CDS	NZ_JBBJSQ010000001.1	58751	60154	1404	Putative dipeptidase YtjP	- none -	58751	60154	
fig|1404.869.peg.60	CDS	NZ_JBBJSQ010000001.1	61119	60187	933	Cysteine synthase (EC 2.5.1.47)	- none -	60187	61119	
fig|1404.869.peg.61	CDS	NZ_JBBJSQ010000001.1	61310	61864	555	2'-5' RNA ligase	RNA processing orphans	61310	61864	
fig|1404.869.peg.62	CDS	NZ_JBBJSQ010000001.1	62000	62926	927	FIG01233842: hypothetical protein	- none -	62000	62926	
fig|1404.869.peg.63	CDS	NZ_JBBJSQ010000001.1	63019	65160	2142	Limit dextrin alpha-1,6-maltotetraose-hydrolase (EC 3.2.1.196) / Pullulanase (EC 3.2.1.41)	- none -	63019	65160	
fig|1404.869.peg.64	CDS	NZ_JBBJSQ010000001.1	65352	66146	795	Putative phosphotransferase YtmP	- none -	65352	66146	
fig|1404.869.peg.65	CDS	NZ_JBBJSQ010000001.1	66431	66153	279	Uncharacterized protein YtzH	- none -	66153	66431	
fig|1404.869.peg.66	CDS	NZ_JBBJSQ010000001.1	66559	67209	651	tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)	- none -	66559	67209	
fig|1404.869.peg.67	CDS	NZ_JBBJSQ010000001.1	67285	68142	858	Quorum-quenching lactonase YtnP	- none -	67285	68142	
fig|1404.869.peg.68	CDS	NZ_JBBJSQ010000001.1	68422	68111	312	Uncharacterized protein YtzB	- none -	68111	68422	
fig|1404.869.peg.69	CDS	NZ_JBBJSQ010000001.1	68575	69648	1074	Glutamyl aminopeptidase (EC 3.4.11.7); Deblocking aminopeptidase	- none -	68575	69648	
fig|1404.869.peg.70	CDS	NZ_JBBJSQ010000001.1	69707	70231	525	Inosine/xanthosine triphosphatase	- none -	69707	70231	
fig|1404.869.peg.71	CDS	NZ_JBBJSQ010000001.1	70385	70702	318	FIG009688: Thioredoxin	- none -	70385	70702	
fig|1404.869.peg.72	CDS	NZ_JBBJSQ010000001.1	70775	71587	813	Uncharacterized SAV1743 homolog	- none -	70775	71587	
fig|1404.869.peg.73	CDS	NZ_JBBJSQ010000001.1	71590	72195	606	Phenylalanyl-tRNA synthetase domain protein (Bsu YtpR)	tRNA aminoacylation, Phe	71590	72195	
fig|1404.869.peg.74	CDS	NZ_JBBJSQ010000001.1	72625	75735	3111	DNA translocase FtsK	- none -	72625	75735	
fig|1404.869.peg.75	CDS	NZ_JBBJSQ010000001.1	76075	76728	654	nicotinate phosphoribosyltransferase( EC:2.4.2.11 )	- none -	76075	76728	
fig|1404.869.peg.76	CDS	NZ_JBBJSQ010000001.1	76914	78215	1302	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	- none -	76914	78215	
fig|1404.869.peg.77	CDS	NZ_JBBJSQ010000001.1	79371	78256	1116	Aminopeptidase	- none -	78256	79371	
fig|1404.869.peg.78	CDS	NZ_JBBJSQ010000001.1	79653	80138	486	UPF0478 protein YtxG	- none -	79653	80138	
fig|1404.869.peg.79	CDS	NZ_JBBJSQ010000001.1	80166	80621	456	General stress protein	- none -	80166	80621	
fig|1404.869.peg.80	CDS	NZ_JBBJSQ010000001.1	80835	81158	324	Uncharacterized protein YtxJ	- none -	80835	81158	
fig|1404.869.peg.81	CDS	NZ_JBBJSQ010000001.1	81487	82563	1077	Chorismate mutase I (EC 5.4.99.5) / 2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), Phenylalanine and Tyrosine Branches from Chorismate	81487	82563	
fig|1404.869.peg.82	CDS	NZ_JBBJSQ010000001.1	83122	84120	999	Catabolite control protein A	HPr catabolite repression system	83122	84120	
fig|1404.869.peg.83	CDS	NZ_JBBJSQ010000001.1	84174	84977	804	Flagellar motor rotation protein MotA	Flagellum	84174	84977	
fig|1404.869.peg.84	CDS	NZ_JBBJSQ010000001.1	85012	85623	612	Flagellar motor rotation protein MotB	Flagellum	85012	85623	
fig|1404.869.peg.85	CDS	NZ_JBBJSQ010000001.1	86816	85653	1164	NAD-independent protein deacetylase AcuC	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	85653	86816	
fig|1404.869.peg.86	CDS	NZ_JBBJSQ010000001.1	87457	86816	642	CBS domain protein AcuB	- none -	86816	87457	
fig|1404.869.peg.87	CDS	NZ_JBBJSQ010000001.1	88120	87488	633	Acetyltransferase AcuA, acetyl-CoA synthetase inhibitor	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	87488	88120	
fig|1404.869.peg.88	CDS	NZ_JBBJSQ010000001.1	88405	90120	1716	Acetyl-CoA synthetase (EC 6.2.1.1)	- none -	88405	90120	
fig|1404.869.peg.89	CDS	NZ_JBBJSQ010000001.1	90546	91805	1260	Tyrosyl-tRNA synthetase (EC 6.1.1.1)	tRNA aminoacylation, Tyr	90546	91805	
fig|1404.869.peg.90	CDS	NZ_JBBJSQ010000001.1	92479	91877	603	SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent	CBSS-393130.3.peg.794, Ribosome SSU bacterial	91877	92479	
fig|1404.869.peg.91	CDS	NZ_JBBJSQ010000001.1	92492	92668	177	hypothetical protein	- none -	92492	92668	
fig|1404.869.peg.92	CDS	NZ_JBBJSQ010000001.1	93375	92896	480	Free methionine-(R)-sulfoxide reductase, contains GAF domain	CBSS-393130.3.peg.794	92896	93375	
fig|1404.869.peg.93	CDS	NZ_JBBJSQ010000001.1	93593	94240	648	Uncharacterized transcriptional regulator YttP, TetR family	- none -	93593	94240	
fig|1404.869.peg.94	CDS	NZ_JBBJSQ010000001.1	95026	94232	795	Histidinol-phosphatase (EC 3.1.3.15)	Histidine Biosynthesis	94232	95026	
fig|1404.869.peg.95	CDS	NZ_JBBJSQ010000001.1	95240	96931	1692	Septation ring formation regulator EzrA	CBSS-393130.3.peg.794	95240	96931	
fig|1404.869.peg.96	CDS	NZ_JBBJSQ010000001.1	97203	98345	1143	Cysteine desulfurase (EC 2.8.1.7), associated with tRNA 4-thiouridine synthase	- none -	97203	98345	
fig|1404.869.peg.97	CDS	NZ_JBBJSQ010000001.1	98352	99563	1212	tRNA 4-thiouridine synthase (EC 2.8.1.4)	- none -	98352	99563	
fig|1404.869.peg.98	CDS	NZ_JBBJSQ010000001.1	99652	99840	189	Small acid-soluble spore protein, alpha/beta family, SASP_1	- none -	99652	99840	
fig|1404.869.peg.99	CDS	NZ_JBBJSQ010000001.1	99964	101556	1593	Exoenzymes regulatory protein AepA precursor	- none -	99964	101556	
fig|1404.869.peg.100	CDS	NZ_JBBJSQ010000001.1	102380	101580	801	NAD kinase (EC 2.7.1.23)	NAD and NADP cofactor biosynthesis global	101580	102380	
fig|1404.869.peg.101	CDS	NZ_JBBJSQ010000001.1	102530	103540	1011	Protease IV	- none -	102530	103540	
fig|1404.869.peg.102	CDS	NZ_JBBJSQ010000001.1	103551	104054	504	BH3197 unknown conserved protein	- none -	103551	104054	
fig|1404.869.peg.103	CDS	NZ_JBBJSQ010000001.1	104459	105157	699	putative secreted protein	- none -	104459	105157	
fig|1404.869.peg.104	CDS	NZ_JBBJSQ010000001.1	105171	105638	468	Spore protein GerW (YtfJ), not involved in spore germination	- none -	105171	105638	
fig|1404.869.peg.105	CDS	NZ_JBBJSQ010000001.1	105816	106310	495	Thiol peroxidase, Tpx-type (EC 1.11.1.15)	CBSS-257314.1.peg.752, Thioredoxin-disulfide reductase	105816	106310	
fig|1404.869.peg.106	CDS	NZ_JBBJSQ010000001.1	106458	107450	993	Adenine-specific methyltransferase (EC 2.1.1.72)	CBSS-257314.1.peg.752	106458	107450	
fig|1404.869.peg.107	CDS	NZ_JBBJSQ010000001.1	107647	108837	1191	Acetate kinase (EC 2.7.2.1)	CBSS-257314.1.peg.752, Fermentations: Lactate, Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	107647	108837	
fig|1404.869.peg.108	CDS	NZ_JBBJSQ010000001.1	109066	109911	846	YdbA paralog	- none -	109066	109911	
fig|1404.869.peg.109	CDS	NZ_JBBJSQ010000001.1	110251	109937	315	FIG01226195: hypothetical protein	- none -	109937	110251	
fig|1404.869.peg.110	CDS	NZ_JBBJSQ010000001.1	110566	111774	1209	Argininosuccinate synthase (EC 6.3.4.5)	- none -	110566	111774	
fig|1404.869.peg.111	CDS	NZ_JBBJSQ010000001.1	111771	113159	1389	Argininosuccinate lyase (EC 4.3.2.1)	- none -	111771	113159	
fig|1404.869.peg.112	CDS	NZ_JBBJSQ010000001.1	113324	113491	168	hypothetical protein	- none -	113324	113491	
fig|1404.869.peg.113	CDS	NZ_JBBJSQ010000001.1	113642	114763	1122	Alanine dehydrogenase (EC 1.4.1.1)	Pyruvate Alanine Serine Interconversions	113642	114763	
fig|1404.869.peg.114	CDS	NZ_JBBJSQ010000001.1	114877	115554	678	FIG002379: metal-dependent hydrolase	- none -	114877	115554	
fig|1404.869.peg.115	CDS	NZ_JBBJSQ010000001.1	115703	115584	120	hypothetical protein	- none -	115584	115703	
fig|1404.869.peg.116	CDS	NZ_JBBJSQ010000001.1	115901	116137	237	hypothetical protein	- none -	115901	116137	
fig|1404.869.peg.117	CDS	NZ_JBBJSQ010000001.1	116219	117535	1317	Uncharacterized protein YtoI	- none -	116219	117535	
fig|1404.869.peg.118	CDS	NZ_JBBJSQ010000001.1	117858	117562	297	Uncharacterized membrane protein YtpI	- none -	117562	117858	
fig|1404.869.peg.119	CDS	NZ_JBBJSQ010000001.1	118110	119048	939	3'-to-5' oligoribonuclease A, Bacillus type	- none -	118110	119048	
fig|1404.869.peg.120	CDS	NZ_JBBJSQ010000001.1	119605	119087	519	Sporulation membrane protein YtrI	- none -	119087	119605	
fig|1404.869.peg.121	CDS	NZ_JBBJSQ010000001.1	119937	119602	336	FIG012070: hypothetical protein	- none -	119602	119937	
fig|1404.869.peg.122	CDS	NZ_JBBJSQ010000001.1	120079	123429	3351	DNA polymerase III alpha subunit (EC 2.7.7.7)	Phage replication	120079	123429	
fig|1404.869.peg.123	CDS	NZ_JBBJSQ010000001.1	123630	124859	1230	NADP-dependent malic enzyme (EC 1.1.1.40)	Pyruvate metabolism I: anaplerotic reactions, PEP	123630	124859	
fig|1404.869.peg.124	CDS	NZ_JBBJSQ010000001.1	124939	125541	603	Transcriptional regulator, GntR family	- none -	124939	125541	
fig|1404.869.peg.125	CDS	NZ_JBBJSQ010000001.1	125769	126650	882	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	Fatty Acid Biosynthesis FASII	125769	126650	
fig|1404.869.peg.126	CDS	NZ_JBBJSQ010000001.1	126644	127621	978	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	Fatty Acid Biosynthesis FASII	126644	127621	
fig|1404.869.peg.127	CDS	NZ_JBBJSQ010000001.1	127705	127821	117	hypothetical protein	- none -	127705	127821	
fig|1404.869.peg.128	CDS	NZ_JBBJSQ010000001.1	128102	129862	1761	Pyruvate kinase (EC 2.7.1.40) / Phosphohistidine swiveling domain	Glycerate metabolism, Pyruvate metabolism I: anaplerotic reactions, PEP	128102	129862	
fig|1404.869.peg.129	CDS	NZ_JBBJSQ010000001.1	129942	130334	393	UPF0716 protein FxsA	- none -	129942	130334	
fig|1404.869.peg.130	CDS	NZ_JBBJSQ010000001.1	131483	130374	1110	Sporulation integral membrane protein YtvI	- none -	130374	131483	
fig|1404.869.peg.131	CDS	NZ_JBBJSQ010000001.1	131597	132058	462	UPF0756 membrane protein YtwI	- none -	131597	132058	
fig|1404.869.peg.132	CDS	NZ_JBBJSQ010000001.1	132201	132338	138	hypothetical protein	- none -	132201	132338	
fig|1404.869.peg.133	CDS	NZ_JBBJSQ010000001.1	132419	133537	1119	Citrate synthase (si) (EC 2.3.3.1)	Glyoxylate bypass, Serine-glyoxylate cycle, TCA Cycle	132419	133537	
fig|1404.869.peg.134	CDS	NZ_JBBJSQ010000001.1	133619	134905	1287	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	5-FCL-like protein, TCA Cycle	133619	134905	
fig|1404.869.peg.135	CDS	NZ_JBBJSQ010000001.1	134934	135872	939	Malate dehydrogenase (EC 1.1.1.37)	Glyoxylate bypass, Serine-glyoxylate cycle, TCA Cycle	134934	135872	
fig|1404.869.peg.136	CDS	NZ_JBBJSQ010000001.1	136006	136482	477	MaoC like domain protein	- none -	136006	136482	
fig|1404.869.peg.137	CDS	NZ_JBBJSQ010000001.1	136661	137377	717	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	Phosphate metabolism	136661	137377	
fig|1404.869.peg.138	CDS	NZ_JBBJSQ010000001.1	137370	139142	1773	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	Phosphate metabolism	137370	139142	
fig|1404.869.peg.139	CDS	NZ_JBBJSQ010000001.1	139471	142098	2628	DNA polymerase I (EC 2.7.7.7)	- none -	139471	142098	
fig|1404.869.peg.140	CDS	NZ_JBBJSQ010000001.1	142120	142953	834	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	- none -	142120	142953	
fig|1404.869.peg.141	CDS	NZ_JBBJSQ010000001.1	143014	143643	630	Uncharacterized membrane protein YtaF	- none -	143014	143643	
fig|1404.869.peg.142	CDS	NZ_JBBJSQ010000001.1	143667	144263	597	Dephospho-CoA kinase (EC 2.7.1.24)	Coenzyme A Biosynthesis	143667	144263	
fig|1404.869.peg.143	CDS	NZ_JBBJSQ010000001.1	144482	145513	1032	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	- none -	144482	145513	
fig|1404.869.peg.144	CDS	NZ_JBBJSQ010000001.1	145936	146316	381	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	Polyamine Metabolism	145936	146316	
fig|1404.869.peg.145	CDS	NZ_JBBJSQ010000001.1	146410	146796	387	FIG01239047: hypothetical protein	- none -	146410	146796	
fig|1404.869.peg.146	CDS	NZ_JBBJSQ010000001.1	147040	147501	462	Ribonucleotide reductase transcriptional regulator NrdR	Ribonucleotide reduction	147040	147501	
fig|1404.869.peg.147	CDS	NZ_JBBJSQ010000001.1	147574	149001	1428	Helicase loader DnaB	- none -	147574	149001	
fig|1404.869.peg.148	CDS	NZ_JBBJSQ010000001.1	149034	149966	933	Helicase loader DnaI	- none -	149034	149966	
fig|1404.869.peg.149	CDS	NZ_JBBJSQ010000001.1	150063	150923	861	Uncharacterized protein YtxC	- none -	150063	150923	
fig|1404.869.peg.150	CDS	NZ_JBBJSQ010000001.1	151298	153235	1938	Threonyl-tRNA synthetase (EC 6.1.1.3)	tRNA aminoacylation, Thr	151298	153235	
fig|1404.869.peg.151	CDS	NZ_JBBJSQ010000001.1	153602	154102	501	Translation initiation factor 3	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins), Translation initiation factors bacterial	153602	154102	
fig|1404.869.peg.152	CDS	NZ_JBBJSQ010000001.1	154124	154324	201	LSU ribosomal protein L35p	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins), Ribosome LSU bacterial	154124	154324	
fig|1404.869.peg.153	CDS	NZ_JBBJSQ010000001.1	154364	154723	360	LSU ribosomal protein L20p	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins), Ribosome LSU bacterial	154364	154723	
fig|1404.869.peg.154	CDS	NZ_JBBJSQ010000001.1	154784	155044	261	Uncharacterized membrane protein YsdA	- none -	154784	155044	
fig|1404.869.peg.155	CDS	NZ_JBBJSQ010000001.1	155440	155063	378	Sigma-W pathway protein YsdB	- none -	155063	155440	
fig|1404.869.peg.156	CDS	NZ_JBBJSQ010000001.1	155573	156061	489	Dimeric dUTPase (EC 3.6.1.23)	Housecleaning nucleoside triphosphate pyrophosphatases	155573	156061	
fig|1404.869.peg.157	CDS	NZ_JBBJSQ010000001.1	156121	157224	1104	Putative aminopeptidase YsdC	- none -	156121	157224	
fig|1404.869.peg.158	CDS	NZ_JBBJSQ010000001.1	157490	157281	210	Small, acid-soluble spore protein I	- none -	157281	157490	
fig|1404.869.peg.159	CDS	NZ_JBBJSQ010000001.1	157634	158392	759	Uncharacterized RNA methyltransferase YsgA	- none -	157634	158392	
fig|1404.869.peg.160	CDS	NZ_JBBJSQ010000001.1	158731	159765	1035	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	tRNA aminoacylation, Phe	158731	159765	
fig|1404.869.peg.161	CDS	NZ_JBBJSQ010000001.1	159779	162193	2415	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	tRNA aminoacylation, Phe	159779	162193	
fig|1404.869.peg.162	CDS	NZ_JBBJSQ010000001.1	163141	162227	915	Ribonuclease HIII (EC 3.1.26.4)	CBSS-198094.1.peg.4426, Ribonuclease H, Ribonucleases in Bacillus	162227	163141	
