Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|3132359.4.peg.42	CDS	NZ_JBBJSS010000001.1	41267	41947	681	Transcriptional regulator, GntR family	- none -	41267	41947	
fig|3132359.4.peg.43	CDS	NZ_JBBJSS010000001.1	41944	42885	942	Uncharacterized transporter YjlA, EamA family	- none -	41944	42885	
fig|3132359.4.peg.44	CDS	NZ_JBBJSS010000001.1	43703	42927	777	hypothetical protein	- none -	42927	43703	
fig|3132359.4.peg.45	CDS	NZ_JBBJSS010000001.1	44830	43730	1101	Proline dipeptidase (EC 3.4.13.9)	- none -	43730	44830	
fig|3132359.4.peg.46	CDS	NZ_JBBJSS010000001.1	45580	44906	675	hypothetical protein	- none -	44906	45580	
fig|3132359.4.peg.47	CDS	NZ_JBBJSS010000001.1	45893	46849	957	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1	- none -	45893	46849	
fig|3132359.4.peg.48	CDS	NZ_JBBJSS010000001.1	46959	47075	117	hypothetical protein	- none -	46959	47075	
fig|3132359.4.peg.49	CDS	NZ_JBBJSS010000001.1	47072	47440	369	hypothetical protein	- none -	47072	47440	
fig|3132359.4.peg.50	CDS	NZ_JBBJSS010000001.1	47986	47468	519	Uncharacterized NAD(P)H oxidoreductase, YdeQ/YrkL/YwrO family	- none -	47468	47986	
fig|3132359.4.peg.51	CDS	NZ_JBBJSS010000001.1	48873	48127	747	Uncharacterized membrane protein YwaF	- none -	48127	48873	
fig|3132359.4.peg.52	CDS	NZ_JBBJSS010000001.1	50565	49042	1524	Glycine betaine ABC transport system, permease protein OpuAB / Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC	Choline and Betaine Uptake and Betaine Biosynthesis, Choline and Betaine Uptake and Betaine Biosynthesis, Choline uptake and conversion to betaine clusters, Choline uptake and conversion to betaine clusters	49042	50565	
fig|3132359.4.peg.53	CDS	NZ_JBBJSS010000001.1	51527	50565	963	Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)	Choline and Betaine Uptake and Betaine Biosynthesis, Choline uptake and conversion to betaine clusters	50565	51527	
fig|3132359.4.peg.54	CDS	NZ_JBBJSS010000001.1	51643	51524	120	hypothetical protein	- none -	51524	51643	
fig|3132359.4.rna.1	RNA	NZ_JBBJSS010000001.1	51853	51781	73	tRNA-Thr-GGT	- none -	51781	51853	
fig|3132359.4.peg.55	CDS	NZ_JBBJSS010000001.1	52064	53116	1053	Vanillate O-demethylase oxygenase subunit (EC 1.14.13.82)	- none -	52064	53116	
fig|3132359.4.peg.56	CDS	NZ_JBBJSS010000001.1	54674	53151	1524	drug resistance transporter, EmrB/QacA family	- none -	53151	54674	
fig|3132359.4.peg.57	CDS	NZ_JBBJSS010000001.1	54940	55860	921	Transcriptional regulator, AcrR family	- none -	54940	55860	
fig|3132359.4.peg.58	CDS	NZ_JBBJSS010000001.1	56795	55974	822	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	- none -	55974	56795	
fig|3132359.4.peg.59	CDS	NZ_JBBJSS010000001.1	57713	56811	903	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	- none -	56811	57713	
fig|3132359.4.peg.60	CDS	NZ_JBBJSS010000001.1	58978	57737	1242	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	- none -	57737	58978	
fig|3132359.4.peg.61	CDS	NZ_JBBJSS010000001.1	61171	59051	2121	hypothetical protein	- none -	59051	61171	
fig|3132359.4.peg.62	CDS	NZ_JBBJSS010000001.1	62275	61259	1017	Transcriptional regulator, LacI family	- none -	61259	62275	
fig|3132359.4.peg.63	CDS	NZ_JBBJSS010000001.1	63696	62422	1275	Sporulation kinase B homolog 1	Sporulation draft	62422	63696	
fig|3132359.4.peg.64	CDS	NZ_JBBJSS010000001.1	63968	64732	765	UPF0721 transmembrane protein YjnA	- none -	63968	64732	
fig|3132359.4.peg.65	CDS	NZ_JBBJSS010000001.1	64966	66318	1353	C4-dicarboxylate transport protein	- none -	64966	66318	
fig|3132359.4.peg.66	CDS	NZ_JBBJSS010000001.1	66741	66346	396	hypothetical protein	- none -	66346	66741	
fig|3132359.4.peg.67	CDS	NZ_JBBJSS010000001.1	67783	66812	972	putative oxidoreductase, nitronate monooxygenase family	- none -	66812	67783	
fig|3132359.4.peg.68	CDS	NZ_JBBJSS010000001.1	67956	69998	2043	Catalase KatE-intracellular protease (EC 1.11.1.6)	- none -	67956	69998	
fig|3132359.4.peg.69	CDS	NZ_JBBJSS010000001.1	70122	70835	714	hypothetical protein	- none -	70122	70835	
fig|3132359.4.peg.70	CDS	NZ_JBBJSS010000001.1	71359	70862	498	Acetyltransferase	- none -	70862	71359	
fig|3132359.4.peg.71	CDS	NZ_JBBJSS010000001.1	71560	72141	582	hypothetical protein	- none -	71560	72141	
fig|3132359.4.peg.72	CDS	NZ_JBBJSS010000001.1	73146	72178	969	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1	- none -	72178	73146	
fig|3132359.4.peg.73	CDS	NZ_JBBJSS010000001.1	75156	73234	1923	Lipoteichoic acid synthase LtaS Type Ib	Polyglycerolphosphate lipoteichoic acid biosynthesis	73234	75156	
fig|3132359.4.peg.74	CDS	NZ_JBBJSS010000001.1	75916	75563	354	Mannose-6-phosphate isomerase	- none -	75563	75916	
fig|3132359.4.peg.75	CDS	NZ_JBBJSS010000001.1	76868	75969	900	Uncharacterized transporter YxxF, EamA family	- none -	75969	76868	
fig|3132359.4.peg.76	CDS	NZ_JBBJSS010000001.1	78147	77020	1128	Uncharacterized NADH-dependent flavin oxidoreductase YqiG	- none -	77020	78147	
fig|3132359.4.peg.77	CDS	NZ_JBBJSS010000001.1	78525	78343	183	hypothetical protein	- none -	78343	78525	
fig|3132359.4.peg.78	CDS	NZ_JBBJSS010000001.1	79522	78638	885	Putative transmembrane protein	- none -	78638	79522	
fig|3132359.4.peg.79	CDS	NZ_JBBJSS010000001.1	80059	81429	1371	Uncharacterized amino acid permease YvbW	- none -	80059	81429	
fig|3132359.4.peg.80	CDS	NZ_JBBJSS010000001.1	82698	81472	1227	Uncharacterized membrane protein YjcL	- none -	81472	82698	
fig|3132359.4.peg.81	CDS	NZ_JBBJSS010000001.1	83396	82830	567	Transcriptional regulator, AcrR family	- none -	82830	83396	
fig|3132359.4.peg.82	CDS	NZ_JBBJSS010000001.1	84156	83518	639	hypothetical protein	- none -	83518	84156	
fig|3132359.4.peg.83	CDS	NZ_JBBJSS010000001.1	85052	84153	900	Transcriptional regulator, LysR family	- none -	84153	85052	
fig|3132359.4.peg.84	CDS	NZ_JBBJSS010000001.1	85209	85958	750	UPF0721 transmembrane protein YdhB	- none -	85209	85958	
fig|3132359.4.peg.85	CDS	NZ_JBBJSS010000001.1	86474	85980	495	Acetyltransferase, GNAT family	- none -	85980	86474	
fig|3132359.4.peg.86	CDS	NZ_JBBJSS010000001.1	87188	86547	642	Rrf2-linked NADH-flavin reductase	- none -	86547	87188	
fig|3132359.4.peg.87	CDS	NZ_JBBJSS010000001.1	88126	87464	663	Mg(2+)-transport-ATPase-associated protein MgtC	- none -	87464	88126	
fig|3132359.4.peg.88	CDS	NZ_JBBJSS010000001.1	88232	89041	810	SAM-dependent methyltransferase	- none -	88232	89041	
fig|3132359.4.peg.89	CDS	NZ_JBBJSS010000001.1	89085	89804	720	Phage protein	- none -	89085	89804	
fig|3132359.4.peg.90	CDS	NZ_JBBJSS010000001.1	90375	89866	510	hypothetical protein	- none -	89866	90375	
fig|3132359.4.peg.91	CDS	NZ_JBBJSS010000001.1	91807	90398	1410	Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis, Threonine and Homoserine Biosynthesis	90398	91807	
fig|3132359.4.peg.92	CDS	NZ_JBBJSS010000001.1	91920	92318	399	Acetyltransferase, GNAT family	- none -	91920	92318	
fig|3132359.4.peg.93	CDS	NZ_JBBJSS010000001.1	92552	94645	2094	hypothetical protein	- none -	92552	94645	
fig|3132359.4.peg.94	CDS	NZ_JBBJSS010000001.1	96114	94711	1404	Uncharacterized amino acid permease YtnA	- none -	94711	96114	
fig|3132359.4.peg.95	CDS	NZ_JBBJSS010000001.1	96589	96431	159	Uncharacterized DUF1540 protein BA2630	- none -	96431	96589	
fig|3132359.4.peg.96	CDS	NZ_JBBJSS010000001.1	97028	96690	339	hypothetical protein	- none -	96690	97028	
fig|3132359.4.peg.97	CDS	NZ_JBBJSS010000001.1	97321	97617	297	hypothetical protein	- none -	97321	97617	
fig|3132359.4.peg.98	CDS	NZ_JBBJSS010000001.1	98109	97630	480	Acetyltransferase, GNAT family	- none -	97630	98109	
fig|3132359.4.peg.99	CDS	NZ_JBBJSS010000001.1	98598	98158	441	hypothetical protein	- none -	98158	98598	
fig|3132359.4.peg.100	CDS	NZ_JBBJSS010000001.1	99695	98706	990	Uncharacterized glycosyltransferase YkoT	- none -	98706	99695	
fig|3132359.4.peg.101	CDS	NZ_JBBJSS010000001.1	101393	99708	1686	Uncharacterized membrane protein YkoS	- none -	99708	101393	
fig|3132359.4.peg.102	CDS	NZ_JBBJSS010000001.1	101850	101431	420	hypothetical protein	- none -	101431	101850	
fig|3132359.4.peg.103	CDS	NZ_JBBJSS010000001.1	103334	102009	1326	Purple acid phosphatase/fibronectin domain protein	- none -	102009	103334	
fig|3132359.4.peg.104	CDS	NZ_JBBJSS010000001.1	103556	104941	1386	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	- none -	103556	104941	
fig|3132359.4.peg.105	CDS	NZ_JBBJSS010000001.1	106267	105416	852	Glyoxalase family protein	- none -	105416	106267	
fig|3132359.4.peg.106	CDS	NZ_JBBJSS010000001.1	107413	106475	939	MBL-fold metallo-hydrolase superfamily	- none -	106475	107413	
fig|3132359.4.peg.107	CDS	NZ_JBBJSS010000001.1	108364	107438	927	Permease of the drug/metabolite transporter (DMT) superfamily	- none -	107438	108364	
fig|3132359.4.peg.108	CDS	NZ_JBBJSS010000001.1	108843	108361	483	hypothetical protein	- none -	108361	108843	
fig|3132359.4.peg.109	CDS	NZ_JBBJSS010000001.1	109064	109684	621	Transporter, LysE family	- none -	109064	109684	
fig|3132359.4.peg.110	CDS	NZ_JBBJSS010000001.1	109962	111395	1434	Sodium/glutamine symporter glnT	- none -	109962	111395	
fig|3132359.4.peg.111	CDS	NZ_JBBJSS010000001.1	111908	111456	453	hypothetical protein	- none -	111456	111908	
fig|3132359.4.peg.112	CDS	NZ_JBBJSS010000001.1	113031	112066	966	Bile acid sodium symporter	- none -	112066	113031	
fig|3132359.4.peg.113	CDS	NZ_JBBJSS010000001.1	113324	114430	1107	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel	Potassium homeostasis	113324	114430	
fig|3132359.4.peg.114	CDS	NZ_JBBJSS010000001.1	115094	114471	624	hypothetical protein	- none -	114471	115094	
fig|3132359.4.peg.115	CDS	NZ_JBBJSS010000001.1	116596	115232	1365	Hemolysins and related proteins containing CBS domains	- none -	115232	116596	
fig|3132359.4.peg.116	CDS	NZ_JBBJSS010000001.1	117445	117209	237	hypothetical protein	- none -	117209	117445	
fig|3132359.4.peg.117	CDS	NZ_JBBJSS010000001.1	118273	117554	720	NAD-dependent protein deacetylase of SIR2 family	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	117554	118273	
fig|3132359.4.peg.118	CDS	NZ_JBBJSS010000001.1	118684	118286	399	Universal stress protein family	- none -	118286	118684	
fig|3132359.4.peg.119	CDS	NZ_JBBJSS010000001.1	118843	118986	144	hypothetical protein	- none -	118843	118986	
fig|3132359.4.peg.120	CDS	NZ_JBBJSS010000001.1	119972	119013	960	6-phosphofructokinase (EC 2.7.1.11)	- none -	119013	119972	
fig|3132359.4.peg.121	CDS	NZ_JBBJSS010000001.1	120318	120995	678	NLP/P60	- none -	120318	120995	
fig|3132359.4.peg.122	CDS	NZ_JBBJSS010000001.1	121130	121672	543	Phage related protein, YorS B.subtilis homolog	- none -	121130	121672	
fig|3132359.4.peg.123	CDS	NZ_JBBJSS010000001.1	121948	121823	126	hypothetical protein	- none -	121823	121948	
fig|3132359.4.peg.124	CDS	NZ_JBBJSS010000001.1	121978	122100	123	hypothetical protein	- none -	121978	122100	
fig|3132359.4.peg.125	CDS	NZ_JBBJSS010000001.1	122121	122270	150	hypothetical protein	- none -	122121	122270	
fig|3132359.4.peg.126	CDS	NZ_JBBJSS010000001.1	122415	122290	126	hypothetical protein	- none -	122290	122415	
fig|3132359.4.peg.127	CDS	NZ_JBBJSS010000001.1	122657	122532	126	hypothetical protein	- none -	122532	122657	
fig|3132359.4.peg.128	CDS	NZ_JBBJSS010000001.1	123164	122760	405	UPF0047 protein Bsu YugU	- none -	122760	123164	
fig|3132359.4.peg.129	CDS	NZ_JBBJSS010000001.1	123283	124719	1437	Nutrient germinant receptor inner membrane subunit A (GerKA/GerAA/GerBA)	- none -	123283	124719	
fig|3132359.4.peg.130	CDS	NZ_JBBJSS010000001.1	124735	125832	1098	Nutrient germinant receptor inner membrane subunit B (GerKB/GerAB/GerBB)	- none -	124735	125832	
fig|3132359.4.peg.131	CDS	NZ_JBBJSS010000001.1	125829	126956	1128	Nutrient germinant receptor hydrophilic subunit C (GerKC/GerAC/GerBC)	- none -	125829	126956	
fig|3132359.4.peg.132	CDS	NZ_JBBJSS010000001.1	127330	126962	369	hypothetical protein	- none -	126962	127330	
fig|3132359.4.peg.133	CDS	NZ_JBBJSS010000001.1	127477	127364	114	hypothetical protein	- none -	127364	127477	
fig|3132359.4.peg.134	CDS	NZ_JBBJSS010000001.1	127561	128163	603	hypothetical protein	- none -	127561	128163	
fig|3132359.4.peg.135	CDS	NZ_JBBJSS010000001.1	128897	128202	696	hypothetical protein	- none -	128202	128897	
fig|3132359.4.peg.136	CDS	NZ_JBBJSS010000001.1	129766	128897	870	ABC transporter, ATP-binding protein	- none -	128897	129766	
fig|3132359.4.peg.137	CDS	NZ_JBBJSS010000001.1	130131	129763	369	Transcriptional regulator, GntR family	- none -	129763	130131	
fig|3132359.4.peg.138	CDS	NZ_JBBJSS010000001.1	130992	130237	756	hypothetical protein	- none -	130237	130992	
fig|3132359.4.peg.139	CDS	NZ_JBBJSS010000001.1	132097	131207	891	Uncharacterized UPF0750 membrane protein	- none -	131207	132097	
fig|3132359.4.peg.140	CDS	NZ_JBBJSS010000001.1	132358	133167	810	hypothetical protein	- none -	132358	133167	
fig|3132359.4.peg.141	CDS	NZ_JBBJSS010000001.1	133164	133787	624	hypothetical protein	- none -	133164	133787	
fig|3132359.4.peg.142	CDS	NZ_JBBJSS010000001.1	133916	134734	819	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46) periplasmic (secreted in GramPositives)	- none -	133916	134734	
fig|3132359.4.peg.143	CDS	NZ_JBBJSS010000001.1	135448	134762	687	ABC transporter, permease protein	- none -	134762	135448	
fig|3132359.4.peg.144	CDS	NZ_JBBJSS010000001.1	136292	135450	843	ABC transporter, ATP-binding protein	- none -	135450	136292	
fig|3132359.4.peg.145	CDS	NZ_JBBJSS010000001.1	136921	136412	510	Acetyltransferase, GNAT family	- none -	136412	136921	
fig|3132359.4.peg.146	CDS	NZ_JBBJSS010000001.1	138162	136957	1206	hypothetical protein	- none -	136957	138162	
fig|3132359.4.peg.147	CDS	NZ_JBBJSS010000001.1	139082	138264	819	Inner membrane protein translocase and chaperone YidC, OxaA protein	- none -	138264	139082	
fig|3132359.4.peg.148	CDS	NZ_JBBJSS010000001.1	139376	139104	273	hypothetical protein	- none -	139104	139376	
fig|3132359.4.peg.149	CDS	NZ_JBBJSS010000001.1	140967	139588	1380	PTS system, IIB component / PTS system, IIC component	- none -	139588	140967	
fig|3132359.4.peg.150	CDS	NZ_JBBJSS010000001.1	141973	141146	828	transcription antiterminator	- none -	141146	141973	
fig|3132359.4.peg.151	CDS	NZ_JBBJSS010000001.1	142508	142011	498	PTS system, glucose-specific IIA component (EC 2.7.1.199)	- none -	142011	142508	
fig|3132359.4.peg.152	CDS	NZ_JBBJSS010000001.1	142940	142743	198	hypothetical protein	- none -	142743	142940	
fig|3132359.4.peg.153	CDS	NZ_JBBJSS010000001.1	143701	143075	627	FMN-dependent NADH-azoreductase (EC 1.7.1.6)	- none -	143075	143701	
fig|3132359.4.peg.154	CDS	NZ_JBBJSS010000001.1	144297	143842	456	hypothetical protein	- none -	143842	144297	
fig|3132359.4.peg.155	CDS	NZ_JBBJSS010000001.1	145001	144456	546	hypothetical protein	- none -	144456	145001	
fig|3132359.4.peg.156	CDS	NZ_JBBJSS010000001.1	145668	146834	1167	Rod shape-determining protein RodA	Bacterial cell division cluster	145668	146834	
fig|3132359.4.peg.157	CDS	NZ_JBBJSS010000001.1	148526	147078	1449	Sulfate permease	- none -	147078	148526	
fig|3132359.4.peg.158	CDS	NZ_JBBJSS010000001.1	149445	148741	705	Purine nucleoside phosphorylase (EC 2.4.2.1)	Adenosyl nucleosidases, Deoxyribose and Deoxynucleoside Catabolism, Purine conversions, pyrimidine conversions	148741	149445	
fig|3132359.4.peg.159	CDS	NZ_JBBJSS010000001.1	149640	149792	153	hypothetical protein	- none -	149640	149792	
fig|3132359.4.peg.160	CDS	NZ_JBBJSS010000001.1	150167	149844	324	Uncharacterized protein YodL	- none -	149844	150167	
fig|3132359.4.peg.161	CDS	NZ_JBBJSS010000001.1	151040	150414	627	putative membrane-associated phospholipid phosphatase, PAP2 superfamily	- none -	150414	151040	
fig|3132359.4.peg.162	CDS	NZ_JBBJSS010000001.1	151213	151094	120	hypothetical protein	- none -	151094	151213	
fig|3132359.4.peg.163	CDS	NZ_JBBJSS010000001.1	152046	151276	771	sporulation-control protein	- none -	151276	152046	
fig|3132359.4.peg.164	CDS	NZ_JBBJSS010000001.1	152866	152033	834	Serine/threonine protein kinase	- none -	152033	152866	
fig|3132359.4.peg.165	CDS	NZ_JBBJSS010000001.1	153030	152863	168	hypothetical protein	- none -	152863	153030	
fig|3132359.4.peg.166	CDS	NZ_JBBJSS010000001.1	153245	154306	1062	hypothetical protein	- none -	153245	154306	
fig|3132359.4.peg.167	CDS	NZ_JBBJSS010000001.1	154535	154365	171	Uncharacterized protein YozD	- none -	154365	154535	
fig|3132359.4.peg.168	CDS	NZ_JBBJSS010000001.1	155487	154801	687	Uncharacterized protein YodN	- none -	154801	155487	
fig|3132359.4.peg.169	CDS	NZ_JBBJSS010000001.1	155933	155718	216	UPF0346 protein YozE	- none -	155718	155933	
fig|3132359.4.peg.170	CDS	NZ_JBBJSS010000001.1	156342	157379	1038	putative membrane protein	- none -	156342	157379	
fig|3132359.4.peg.171	CDS	NZ_JBBJSS010000001.1	157501	158346	846	D-alanine aminotransferase (EC 2.6.1.21)	Pyruvate Alanine Serine Interconversions	157501	158346	
fig|3132359.4.peg.172	CDS	NZ_JBBJSS010000001.1	158660	158382	279	hypothetical protein	- none -	158382	158660	
fig|3132359.4.peg.173	CDS	NZ_JBBJSS010000001.1	160087	158675	1413	Lysine 2,3-aminomutase (EC 5.4.3.2)	Lysine fermentation	158675	160087	
fig|3132359.4.peg.174	CDS	NZ_JBBJSS010000001.1	161003	160155	849	Beta-lysine acetyltransferase (EC 2.3.1.-)	Lysine fermentation	160155	161003	
fig|3132359.4.peg.175	CDS	NZ_JBBJSS010000001.1	162295	161030	1266	Uncharacterized metallohydrolase YodQ	- none -	161030	162295	
fig|3132359.4.peg.176	CDS	NZ_JBBJSS010000001.1	162971	162309	663	Acyl-CoA:acetate CoA-transferase, beta subunit (EC 2.8.3.8)	- none -	162309	162971	
fig|3132359.4.peg.177	CDS	NZ_JBBJSS010000001.1	163657	162956	702	Acyl-CoA:acetate CoA-transferase, alpha subunit (EC 2.8.3.8)	- none -	162956	163657	
fig|3132359.4.peg.178	CDS	NZ_JBBJSS010000001.1	165007	163658	1350	Aminotransferase, class III	- none -	163658	165007	
fig|3132359.4.peg.179	CDS	NZ_JBBJSS010000001.1	166351	165116	1236	Proton/glutamate symporter @ Sodium/glutamate symporter	- none -	165116	166351	
fig|3132359.4.peg.180	CDS	NZ_JBBJSS010000001.1	168762	167293	1470	FIG00672882: hypothetical protein	- none -	167293	168762	
fig|3132359.4.peg.181	CDS	NZ_JBBJSS010000001.1	170381	168981	1401	PAS	- none -	168981	170381	
fig|3132359.4.peg.182	CDS	NZ_JBBJSS010000001.1	170708	170535	174	hypothetical protein	- none -	170535	170708	
fig|3132359.4.peg.183	CDS	NZ_JBBJSS010000001.1	171206	170796	411	hypothetical protein	- none -	170796	171206	
fig|3132359.4.peg.184	CDS	NZ_JBBJSS010000001.1	171372	171211	162	hypothetical protein	- none -	171211	171372	
fig|3132359.4.peg.185	CDS	NZ_JBBJSS010000001.1	171587	172342	756	hypothetical protein	- none -	171587	172342	
fig|3132359.4.peg.186	CDS	NZ_JBBJSS010000001.1	172947	172375	573	hypothetical protein	- none -	172375	172947	
fig|3132359.4.peg.187	CDS	NZ_JBBJSS010000001.1	173844	172960	885	FIG006988: Lipase/Acylhydrolase with GDSL-like motif	- none -	172960	173844	
fig|3132359.4.peg.188	CDS	NZ_JBBJSS010000001.1	174659	174081	579	Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center	- none -	174081	174659	
fig|3132359.4.peg.189	CDS	NZ_JBBJSS010000001.1	176300	174684	1617	hypothetical protein	- none -	174684	176300	
