Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|1404.870.peg.8	CDS	NZ_JBBJSO010000001.1	12154	15891	3738	ATP-dependent helicase/nuclease AddAB, subunit A	- none -	12154	15891	
fig|1404.870.peg.9	CDS	NZ_JBBJSO010000001.1	15945	17129	1185	Exonuclease SbcD	DNA repair, bacterial, Rad50-Mre11 DNA repair cluster	15945	17129	
fig|1404.870.peg.10	CDS	NZ_JBBJSO010000001.1	17126	20518	3393	Exonuclease SbcC	DNA repair, bacterial, Rad50-Mre11 DNA repair cluster	17126	20518	
fig|1404.870.peg.11	CDS	NZ_JBBJSO010000001.1	20533	20838	306	Uncharacterized protein YisB	- none -	20533	20838	
fig|1404.870.peg.12	CDS	NZ_JBBJSO010000001.1	21103	20885	219	GerPF/GerPA protein family, required for proper assembly of spore coat, mutations lead to super-dormant spore	- none -	20885	21103	
fig|1404.870.peg.13	CDS	NZ_JBBJSO010000001.1	21595	21164	432	Protein GerPE, required for proper assembly of spore coat, mutations lead to super-dormant spore	Spore germination	21164	21595	
fig|1404.870.peg.14	CDS	NZ_JBBJSO010000001.1	21784	21608	177	Protein GerPD, required for proper assembly of spore coat, mutations lead to super-dormant spore	Spore germination	21608	21784	
fig|1404.870.peg.15	CDS	NZ_JBBJSO010000001.1	22497	21781	717	Protein GerPC, required for proper assembly of spore coat, mutations lead to super-dormant spore	Spore germination	21781	22497	
fig|1404.870.peg.16	CDS	NZ_JBBJSO010000001.1	22642	22788	147	hypothetical protein	- none -	22642	22788	
fig|1404.870.peg.17	CDS	NZ_JBBJSO010000001.1	23114	22893	222	GerPF/GerPA protein family, required for proper assembly of spore coat, mutations lead to super-dormant spore	- none -	22893	23114	
fig|1404.870.peg.18	CDS	NZ_JBBJSO010000001.1	23313	24338	1026	hypothetical protein	- none -	23313	24338	
fig|1404.870.peg.19	CDS	NZ_JBBJSO010000001.1	24363	24485	123	hypothetical protein	- none -	24363	24485	
fig|1404.870.peg.20	CDS	NZ_JBBJSO010000001.1	24564	24911	348	Uncharacterized protein UPF0344	- none -	24564	24911	
fig|1404.870.peg.21	CDS	NZ_JBBJSO010000001.1	25513	24953	561	Uncharacterized protein YisN	- none -	24953	25513	
fig|1404.870.peg.22	CDS	NZ_JBBJSO010000001.1	25685	27532	1848	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) YisO	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	25685	27532	
fig|1404.870.peg.23	CDS	NZ_JBBJSO010000001.1	27848	29380	1533	Dehydrosqualene desaturase (EC 1.3.8.2) @ 4,4'-diapolycopene oxidase	- none -	27848	29380	
fig|1404.870.peg.24	CDS	NZ_JBBJSO010000001.1	29377	30834	1458	Dehydrosqualene desaturase (EC 1.3.8.2)	- none -	29377	30834	
fig|1404.870.peg.25	CDS	NZ_JBBJSO010000001.1	30893	31741	849	Dehydrosqualene synthase (EC 2.5.1.96)	Polyprenyl Diphosphate Biosynthesis	30893	31741	
fig|1404.870.peg.26	CDS	NZ_JBBJSO010000001.1	31927	32268	342	Nitrogen regulatory protein P-II	Ammonia assimilation	31927	32268	
fig|1404.870.peg.27	CDS	NZ_JBBJSO010000001.1	32306	33706	1401	Ammonium transporter	Ammonia assimilation	32306	33706	
fig|1404.870.peg.28	CDS	NZ_JBBJSO010000001.1	33855	35369	1515	hypothetical protein	- none -	33855	35369	
fig|1404.870.peg.29	CDS	NZ_JBBJSO010000001.1	35428	36462	1035	Maltose operon transcriptional repressor MalR, LacI family	- none -	35428	36462	
fig|1404.870.peg.30	CDS	NZ_JBBJSO010000001.1	36808	38355	1548	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)	Arginine and Ornithine Degradation, Proline, 4-hydroxyproline uptake and utilization	36808	38355	
fig|1404.870.peg.31	CDS	NZ_JBBJSO010000001.1	38379	39584	1206	Ornithine aminotransferase (EC 2.6.1.13)	Arginine and Ornithine Degradation, Dimethylarginine metabolism	38379	39584	
fig|1404.870.peg.32	CDS	NZ_JBBJSO010000001.1	39688	41367	1680	Arginine utilization protein RocB	Arginine and Ornithine Degradation	39688	41367	
fig|1404.870.peg.33	CDS	NZ_JBBJSO010000001.1	41391	42809	1419	Amino-acid permease RocC	- none -	41391	42809	
fig|1404.870.peg.34	CDS	NZ_JBBJSO010000001.1	44249	42837	1413	Arginine utilization regulatory protein RocR	Arginine and Ornithine Degradation	42837	44249	
fig|1404.870.peg.35	CDS	NZ_JBBJSO010000001.1	45217	44354	864	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	44354	45217	
fig|1404.870.peg.36	CDS	NZ_JBBJSO010000001.1	45850	45359	492	UPF0234 protein Yitk	- none -	45359	45850	
fig|1404.870.peg.37	CDS	NZ_JBBJSO010000001.1	46106	46969	864	Uncharacterized S1 RNA binding domain protein YitL	- none -	46106	46969	
fig|1404.870.peg.38	CDS	NZ_JBBJSO010000001.1	47135	47004	132	hypothetical protein	- none -	47004	47135	
fig|1404.870.peg.39	CDS	NZ_JBBJSO010000001.1	48048	47188	861	DegV family protein	- none -	47188	48048	
fig|1404.870.peg.40	CDS	NZ_JBBJSO010000001.1	48299	49144	846	UPF0750 membrane protein YitT	- none -	48299	49144	
fig|1404.870.peg.41	CDS	NZ_JBBJSO010000001.1	49943	49182	762	hypothetical protein	- none -	49182	49943	
fig|1404.870.peg.42	CDS	NZ_JBBJSO010000001.1	50099	49947	153	hypothetical protein	- none -	49947	50099	
fig|1404.870.peg.43	CDS	NZ_JBBJSO010000001.1	51030	50218	813	Putative phosphatase YitU	- none -	50218	51030	
fig|1404.870.peg.44	CDS	NZ_JBBJSO010000001.1	51266	51574	309	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	Iron-sulfur cluster assembly	51266	51574	
fig|1404.870.peg.45	CDS	NZ_JBBJSO010000001.1	52303	51605	699	Anaerobic regulatory protein Fnr	- none -	51605	52303	
fig|1404.870.peg.46	CDS	NZ_JBBJSO010000001.1	52655	53698	1044	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	- none -	52655	53698	
fig|1404.870.peg.47	CDS	NZ_JBBJSO010000001.1	53745	54980	1236	Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1)	- none -	53745	54980	
fig|1404.870.peg.48	CDS	NZ_JBBJSO010000001.1	54993	55817	825	N-acetylglutamate kinase (EC 2.7.2.8)	- none -	54993	55817	
fig|1404.870.peg.49	CDS	NZ_JBBJSO010000001.1	55783	56937	1155	N-acetylornithine aminotransferase (EC 2.6.1.11)	- none -	55783	56937	
fig|1404.870.peg.50	CDS	NZ_JBBJSO010000001.1	57008	58081	1074	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	De Novo Pyrimidine Synthesis	57008	58081	
fig|1404.870.peg.51	CDS	NZ_JBBJSO010000001.1	58074	61184	3111	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	De Novo Pyrimidine Synthesis	58074	61184	
fig|1404.870.peg.52	CDS	NZ_JBBJSO010000001.1	61181	62131	951	Ornithine carbamoyltransferase (EC 2.1.3.3)	Arginine Deiminase Pathway, Arginine and Ornithine Degradation	61181	62131	
fig|1404.870.peg.53	CDS	NZ_JBBJSO010000001.1	62233	62880	648	hypothetical protein	- none -	62233	62880	
fig|1404.870.peg.54	CDS	NZ_JBBJSO010000001.1	63010	63189	180	Uncharacterized protein YjzC	- none -	63010	63189	
fig|1404.870.peg.55	CDS	NZ_JBBJSO010000001.1	63304	65907	2604	Chaperone protein ClpB (ATP-dependent unfoldase)	- none -	63304	65907	
fig|1404.870.peg.56	CDS	NZ_JBBJSO010000001.1	66097	66348	252	hypothetical protein	- none -	66097	66348	
fig|1404.870.peg.57	CDS	NZ_JBBJSO010000001.1	67270	66377	894	Transcriptional regulator, AraC family	- none -	66377	67270	
fig|1404.870.peg.58	CDS	NZ_JBBJSO010000001.1	67609	68787	1179	Galactokinase (EC 2.7.1.6)	Lactose and Galactose Uptake and Utilization	67609	68787	
fig|1404.870.peg.59	CDS	NZ_JBBJSO010000001.1	68818	70341	1524	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	Lactose and Galactose Uptake and Utilization	68818	70341	
fig|1404.870.peg.60	CDS	NZ_JBBJSO010000001.1	71268	70384	885	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	D-galactarate, D-glucarate and D-glycerate catabolism, D-galactarate, D-glucarate and D-glycerate catabolism - gjo, Glycerate metabolism	70384	71268	
fig|1404.870.peg.61	CDS	NZ_JBBJSO010000001.1	71659	71471	189	Uncharacterized membrane protein YjzD	- none -	71471	71659	
fig|1404.870.peg.62	CDS	NZ_JBBJSO010000001.1	71869	72609	741	Uncharacterized protein YjaU	- none -	71869	72609	
fig|1404.870.peg.63	CDS	NZ_JBBJSO010000001.1	72791	73675	885	UDP-glucose 4-epimerase	- none -	72791	73675	
fig|1404.870.peg.64	CDS	NZ_JBBJSO010000001.1	73753	73947	195	ComG operon repressor ComZ	- none -	73753	73947	
fig|1404.870.peg.65	CDS	NZ_JBBJSO010000001.1	74176	73976	201	hypothetical protein	- none -	73976	74176	
fig|1404.870.peg.66	CDS	NZ_JBBJSO010000001.1	74433	75371	939	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	- none -	74433	75371	
fig|1404.870.peg.67	CDS	NZ_JBBJSO010000001.1	75411	76652	1242	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	- none -	75411	76652	
fig|1404.870.peg.68	CDS	NZ_JBBJSO010000001.1	76758	77531	774	Uncharacterized protein YjaZ	- none -	76758	77531	
fig|1404.870.peg.69	CDS	NZ_JBBJSO010000001.1	77758	78780	1023	Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	- none -	77758	78780	
fig|1404.870.peg.70	CDS	NZ_JBBJSO010000001.1	78780	79763	984	Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)	- none -	78780	79763	
fig|1404.870.peg.71	CDS	NZ_JBBJSO010000001.1	79807	81546	1740	Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)	- none -	79807	81546	
fig|1404.870.peg.72	CDS	NZ_JBBJSO010000001.1	81575	82540	966	Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)	- none -	81575	82540	
fig|1404.870.peg.73	CDS	NZ_JBBJSO010000001.1	82552	83466	915	Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)	- none -	82552	83466	
fig|1404.870.peg.74	CDS	NZ_JBBJSO010000001.1	83767	84516	750	UPF0736 protein YjbA	- none -	83767	84516	
fig|1404.870.peg.75	CDS	NZ_JBBJSO010000001.1	85532	84546	987	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	tRNA aminoacylation, Trp	84546	85532	
fig|1404.870.peg.76	CDS	NZ_JBBJSO010000001.1	86483	88129	1647	Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)	- none -	86483	88129	
fig|1404.870.peg.77	CDS	NZ_JBBJSO010000001.1	88227	89162	936	Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)	- none -	88227	89162	
fig|1404.870.peg.78	CDS	NZ_JBBJSO010000001.1	89165	90091	927	Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)	- none -	89165	90091	
fig|1404.870.peg.79	CDS	NZ_JBBJSO010000001.1	90106	91176	1071	Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	- none -	90106	91176	
fig|1404.870.peg.80	CDS	NZ_JBBJSO010000001.1	91178	92095	918	Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)	- none -	91178	92095	
fig|1404.870.peg.81	CDS	NZ_JBBJSO010000001.1	92953	92378	576	Putative acetyltransferase YjbC	- none -	92378	92953	
fig|1404.870.peg.82	CDS	NZ_JBBJSO010000001.1	93402	94766	1365	Uncharacterized amino acid permease YtnA	- none -	93402	94766	
fig|1404.870.peg.83	CDS	NZ_JBBJSO010000001.1	95290	96696	1407	Arginine/ornithine antiporter ArcD	Arginine Deiminase Pathway, Arginine and Ornithine Degradation, Polyamine Metabolism	95290	96696	
fig|1404.870.peg.84	CDS	NZ_JBBJSO010000001.1	97115	97513	399	Regulatory protein Spx	- none -	97115	97513	
fig|1404.870.peg.85	CDS	NZ_JBBJSO010000001.1	97716	98612	897	Transcriptional regulator, LysR family	- none -	97716	98612	
fig|1404.870.peg.86	CDS	NZ_JBBJSO010000001.1	98808	99221	414	Malonate transporter, MadL subunit	- none -	98808	99221	
fig|1404.870.peg.87	CDS	NZ_JBBJSO010000001.1	99218	99979	762	Malonate transporter, MadM subunit	- none -	99218	99979	
fig|1404.870.peg.88	CDS	NZ_JBBJSO010000001.1	100741	100076	666	Uncharacterized membrane protein YjbE	- none -	100076	100741	
fig|1404.870.peg.89	CDS	NZ_JBBJSO010000001.1	101102	101782	681	ClpCP protease substrate adapter protein MecA	- none -	101102	101782	
fig|1404.870.peg.90	CDS	NZ_JBBJSO010000001.1	101999	103516	1518	Cardiolipin synthase, bacterial type ClsA	- none -	101999	103516	
fig|1404.870.peg.91	CDS	NZ_JBBJSO010000001.1	103636	104817	1182	Competence protein CoiA	- none -	103636	104817	
fig|1404.870.peg.92	CDS	NZ_JBBJSO010000001.1	104981	106798	1818	Oligoendopeptidase F	- none -	104981	106798	
fig|1404.870.peg.93	CDS	NZ_JBBJSO010000001.1	107009	106830	180	hypothetical protein	- none -	106830	107009	
fig|1404.870.peg.94	CDS	NZ_JBBJSO010000001.1	108155	107304	852	FIG00002411: Thioredoxin-fold protein	- none -	107304	108155	
fig|1404.870.peg.95	CDS	NZ_JBBJSO010000001.1	108592	108182	411	Hemoglobin-like protein HbO	Bacterial hemoglobins	108182	108592	
fig|1404.870.peg.96	CDS	NZ_JBBJSO010000001.1	109568	108879	690	Membrane-bound lytic murein transglycosylase D	- none -	108879	109568	
fig|1404.870.peg.97	CDS	NZ_JBBJSO010000001.1	110163	109573	591	Adenylate cyclase (EC 4.6.1.1)	cAMP signaling in bacteria	109573	110163	
fig|1404.870.peg.98	CDS	NZ_JBBJSO010000001.1	110380	110766	387	UPF0738 protein YjbL	- none -	110380	110766	
fig|1404.870.peg.99	CDS	NZ_JBBJSO010000001.1	110794	111429	636	GTP pyrophosphokinase (EC 2.7.6.5)	- none -	110794	111429	
fig|1404.870.peg.100	CDS	NZ_JBBJSO010000001.1	111482	112288	807	NAD kinase (EC 2.7.1.23)	NAD and NADP cofactor biosynthesis global	111482	112288	
fig|1404.870.peg.101	CDS	NZ_JBBJSO010000001.1	112303	113211	909	Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type	- none -	112303	113211	
fig|1404.870.peg.102	CDS	NZ_JBBJSO010000001.1	113970	113230	741	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	CBSS-176299.4.peg.1996A, pyrimidine conversions	113230	113970	
fig|1404.870.peg.103	CDS	NZ_JBBJSO010000001.1	114148	115524	1377	Mg/Co/Ni transporter MgtE, CBS domain-containing	- none -	114148	115524	
fig|1404.870.peg.104	CDS	NZ_JBBJSO010000001.1	115683	117542	1860	Na+/H+ antiporter	- none -	115683	117542	
fig|1404.870.peg.105	CDS	NZ_JBBJSO010000001.1	118071	118583	513	Spore coat protein CotO	- none -	118071	118583	
fig|1404.870.peg.106	CDS	NZ_JBBJSO010000001.1	118661	118996	336	Sporulation protein SpoVIF (YjcA)	- none -	118661	118996	
fig|1404.870.peg.107	CDS	NZ_JBBJSO010000001.1	119877	119044	834	hypothetical protein	- none -	119044	119877	
fig|1404.870.peg.108	CDS	NZ_JBBJSO010000001.1	120754	120017	738	hypothetical protein	- none -	120017	120754	
fig|1404.870.peg.109	CDS	NZ_JBBJSO010000001.1	121016	121402	387	hypothetical protein	- none -	121016	121402	
fig|1404.870.peg.110	CDS	NZ_JBBJSO010000001.1	121471	121647	177	hypothetical protein	- none -	121471	121647	
fig|1404.870.peg.111	CDS	NZ_JBBJSO010000001.1	121709	121888	180	hypothetical protein	- none -	121709	121888	
fig|1404.870.peg.112	CDS	NZ_JBBJSO010000001.1	121976	122098	123	hypothetical protein	- none -	121976	122098	
fig|1404.870.peg.113	CDS	NZ_JBBJSO010000001.1	122232	122489	258	hypothetical protein	- none -	122232	122489	
fig|1404.870.peg.114	CDS	NZ_JBBJSO010000001.1	123329	122541	789	Zn-dependent protease	- none -	122541	123329	
fig|1404.870.peg.115	CDS	NZ_JBBJSO010000001.1	126079	123761	2319	putative ATP-dependent DNA helicase YjcD	- none -	123761	126079	
fig|1404.870.peg.116	CDS	NZ_JBBJSO010000001.1	126458	126709	252	hypothetical protein	- none -	126458	126709	
fig|1404.870.peg.117	CDS	NZ_JBBJSO010000001.1	127463	126786	678	UPF0702 transmembrane protein YetF	- none -	126786	127463	
fig|1404.870.peg.118	CDS	NZ_JBBJSO010000001.1	127987	127553	435	GNAT family acetyltransferase YjcF	- none -	127553	127987	
fig|1404.870.peg.119	CDS	NZ_JBBJSO010000001.1	128505	127993	513	2H phosphoesterase superfamily protein Bsu1186 (yjcG)	RNA processing orphans	127993	128505	
fig|1404.870.peg.120	CDS	NZ_JBBJSO010000001.1	129313	128588	726	Putative acetyl esterase YjcH (EC 3.1.1.-)	- none -	128588	129313	
fig|1404.870.peg.121	CDS	NZ_JBBJSO010000001.1	129862	129476	387	hypothetical protein	- none -	129476	129862	
fig|1404.870.peg.122	CDS	NZ_JBBJSO010000001.1	130036	130572	537	Low temperature requirement C protein	- none -	130036	130572	
fig|1404.870.peg.123	CDS	NZ_JBBJSO010000001.1	131177	130698	480	Acetyltransferase, GNAT family	- none -	130698	131177	
fig|1404.870.peg.124	CDS	NZ_JBBJSO010000001.1	132192	131347	846	Transcriptional regulator, RpiR family	- none -	131347	132192	
fig|1404.870.peg.125	CDS	NZ_JBBJSO010000001.1	132343	133242	900	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	D-gluconate and ketogluconates metabolism, Pentose phosphate pathway	132343	133242	
fig|1404.870.peg.126	CDS	NZ_JBBJSO010000001.1	133268	134809	1542	Gluconokinase (EC 2.7.1.12)	D-gluconate and ketogluconates metabolism	133268	134809	
fig|1404.870.peg.127	CDS	NZ_JBBJSO010000001.1	135088	136614	1527	Cytosine/purine/uracil/thiamine/allantoin permease family protein	Purine Utilization	135088	136614	
fig|1404.870.peg.128	CDS	NZ_JBBJSO010000001.1	136883	138211	1329	Gluconate permease	D-gluconate and ketogluconates metabolism	136883	138211	
fig|1404.870.peg.129	CDS	NZ_JBBJSO010000001.1	138366	138977	612	hypothetical protein	- none -	138366	138977	
fig|1404.870.peg.130	CDS	NZ_JBBJSO010000001.1	139636	139016	621	hypothetical protein	- none -	139016	139636	
fig|1404.870.peg.131	CDS	NZ_JBBJSO010000001.1	139809	140258	450	Transcriptional regulator, AsnC family	- none -	139809	140258	
fig|1404.870.peg.132	CDS	NZ_JBBJSO010000001.1	141041	140286	756	hypothetical protein	- none -	140286	141041	
fig|1404.870.peg.133	CDS	NZ_JBBJSO010000001.1	141175	141062	114	hypothetical protein	- none -	141062	141175	
fig|1404.870.peg.134	CDS	NZ_JBBJSO010000001.1	141487	142575	1089	hypothetical protein	- none -	141487	142575	
fig|1404.870.peg.135	CDS	NZ_JBBJSO010000001.1	142748	143452	705	hypothetical protein	- none -	142748	143452	
fig|1404.870.peg.136	CDS	NZ_JBBJSO010000001.1	143578	143787	210	hypothetical protein	- none -	143578	143787	
fig|1404.870.peg.137	CDS	NZ_JBBJSO010000001.1	144508	143987	522	hypothetical protein	- none -	143987	144508	
fig|1404.870.peg.138	CDS	NZ_JBBJSO010000001.1	145037	146065	1029	hypothetical protein	- none -	145037	146065	
fig|1404.870.peg.139	CDS	NZ_JBBJSO010000001.1	146264	146734	471	hypothetical protein	- none -	146264	146734	
fig|1404.870.peg.140	CDS	NZ_JBBJSO010000001.1	146728	146961	234	hypothetical protein	- none -	146728	146961	
fig|1404.870.peg.141	CDS	NZ_JBBJSO010000001.1	147406	147191	216	hypothetical protein	- none -	147191	147406	
fig|1404.870.peg.142	CDS	NZ_JBBJSO010000001.1	147668	147396	273	hypothetical protein	- none -	147396	147668	
fig|1404.870.peg.143	CDS	NZ_JBBJSO010000001.1	147928	147671	258	hypothetical protein	- none -	147671	147928	
fig|1404.870.peg.144	CDS	NZ_JBBJSO010000001.1	148086	147925	162	hypothetical protein	- none -	147925	148086	
fig|1404.870.peg.145	CDS	NZ_JBBJSO010000001.1	148528	148710	183	hypothetical protein	- none -	148528	148710	
fig|1404.870.peg.146	CDS	NZ_JBBJSO010000001.1	148735	149877	1143	hypothetical protein	- none -	148735	149877	
fig|1404.870.peg.147	CDS	NZ_JBBJSO010000001.1	150159	150665	507	hypothetical protein	- none -	150159	150665	
fig|1404.870.peg.148	CDS	NZ_JBBJSO010000001.1	150655	151170	516	hypothetical protein	- none -	150655	151170	
fig|1404.870.peg.149	CDS	NZ_JBBJSO010000001.1	151351	151806	456	hypothetical protein	- none -	151351	151806	
fig|1404.870.peg.150	CDS	NZ_JBBJSO010000001.1	151819	153087	1269	hypothetical protein	- none -	151819	153087	
fig|1404.870.peg.151	CDS	NZ_JBBJSO010000001.1	153084	154856	1773	Helicase, SNF2 family	- none -	153084	154856	
fig|1404.870.peg.152	CDS	NZ_JBBJSO010000001.1	154859	155746	888	hypothetical protein	- none -	154859	155746	
fig|1404.870.peg.153	CDS	NZ_JBBJSO010000001.1	157207	155753	1455	Site-specific DNA-methyltransferase	- none -	155753	157207	
fig|1404.870.peg.154	CDS	NZ_JBBJSO010000001.1	157566	158036	471	hypothetical protein	- none -	157566	158036	
fig|1404.870.rna.8	RNA	NZ_JBBJSO010000001.1	158121	158192	72	tRNA-Val-GAC	- none -	158121	158192	
fig|1404.870.peg.155	CDS	NZ_JBBJSO010000001.1	158361	159806	1446	ATP-dependent RNA helicase YxiN	- none -	158361	159806	
fig|1404.870.peg.156	CDS	NZ_JBBJSO010000001.1	159871	160500	630	Cytoplasmic copper homeostasis protein CutC	Copper homeostasis: copper tolerance	159871	160500	
fig|1404.870.peg.157	CDS	NZ_JBBJSO010000001.1	162180	160789	1392	gamma-aminobutyrate (GABA) permease	- none -	160789	162180	
fig|1404.870.peg.158	CDS	NZ_JBBJSO010000001.1	162476	162357	120	hypothetical protein	- none -	162357	162476	
fig|1404.870.peg.159	CDS	NZ_JBBJSO010000001.1	162659	162997	339	hypothetical protein	- none -	162659	162997	
fig|1404.870.peg.160	CDS	NZ_JBBJSO010000001.1	163281	164003	723	Uncharacterized protein YobT	- none -	163281	164003	
fig|1404.870.peg.161	CDS	NZ_JBBJSO010000001.1	164008	164586	579	Transcriptional regulator, AcrR family	- none -	164008	164586	
fig|1404.870.peg.162	CDS	NZ_JBBJSO010000001.1	164847	166325	1479	Transcriptional antiterminator of lichenan operon, BglG family	- none -	164847	166325	
fig|1404.870.peg.163	CDS	NZ_JBBJSO010000001.1	166341	166796	456	Transcriptional antiterminator of lichenan operon, BglG family	- none -	166341	166796	
fig|1404.870.peg.164	CDS	NZ_JBBJSO010000001.1	166958	167263	306	PTS system, cellobiose-specific IIB component (EC 2.7.1.205)	- none -	166958	167263	
fig|1404.870.peg.165	CDS	NZ_JBBJSO010000001.1	167277	168635	1359	PTS system, cellobiose-specific IIC component	- none -	167277	168635	
fig|1404.870.peg.166	CDS	NZ_JBBJSO010000001.1	168649	168978	330	PTS system, cellobiose-specific IIA component (EC 2.7.1.205)	- none -	168649	168978	
fig|1404.870.peg.167	CDS	NZ_JBBJSO010000001.1	168975	170303	1329	6-phospho-beta-glucosidase (EC 3.2.1.86)	- none -	168975	170303	
fig|1404.870.peg.168	CDS	NZ_JBBJSO010000001.1	170425	172176	1752	Autolysis histidine kinase LytS	Murein hydrolase regulation and cell death	170425	172176	
fig|1404.870.peg.169	CDS	NZ_JBBJSO010000001.1	172178	172918	741	Autolysis response regulater LytR	Murein hydrolase regulation and cell death	172178	172918	
fig|1404.870.peg.170	CDS	NZ_JBBJSO010000001.1	173081	173515	435	Antiholin-like protein LrgA	Murein hydrolase regulation and cell death	173081	173515	
fig|1404.870.peg.171	CDS	NZ_JBBJSO010000001.1	173549	174229	681	LrgA-associated membrane protein LrgB	Murein hydrolase regulation and cell death	173549	174229	
fig|1404.870.peg.172	CDS	NZ_JBBJSO010000001.1	174719	174285	435	hypothetical protein	- none -	174285	174719	
fig|1404.870.peg.173	CDS	NZ_JBBJSO010000001.1	175057	177402	2346	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	- none -	175057	177402	
fig|1404.870.peg.174	CDS	NZ_JBBJSO010000001.1	177422	179572	2151	Assimilatory nitrate reductase large subunit (EC 1.7.99.4)	- none -	177422	179572	
fig|1404.870.peg.175	CDS	NZ_JBBJSO010000001.1	180803	179622	1182	Nitrate/nitrite transporter NarT	- none -	179622	180803	
fig|1404.870.peg.176	CDS	NZ_JBBJSO010000001.1	181753	181040	714	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	Acetoin, butanediol metabolism, Alpha-acetolactate operon	181040	181753	
fig|1404.870.peg.177	CDS	NZ_JBBJSO010000001.1	183446	181770	1677	Acetolactate synthase, catabolic (EC 2.2.1.6)	Acetoin, butanediol metabolism, Alpha-acetolactate operon	181770	183446	
fig|1404.870.peg.178	CDS	NZ_JBBJSO010000001.1	183840	183676	165	hypothetical protein	- none -	183676	183840	
